,Speaker,Speaker Party,"('absatz', 'buchstab')","('angehor', 'arme')","('anlegerinn', 'anleg')","('annahm', 'motion')","('antrag', 'kommissionsmehr')","('antrag', 'mehrheit')","('antrag', 'mind')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('ausdruck', 'gebracht')","('auslanderinn', 'ausland')","('automat', 'informationsaustausch')","('beantragt', 'stimm')","('beid', 'rat')","('beim', 'eintret')","('beruf', 'vorsorg')","('beschluss', 'nationalrat')","('best', 'dank')","('bitt', 'antrag')","('bitt', 'deshalb')","('bitt', 'dringend')","('bitt', 'minderheitsantrag')","('bund', 'kanton')","('bundesrat', 'beantragt')","('bundesrat', 'folg')","('bundesrat', 'ja')","('bundesrat', 'meinung')","('bundesrat', 'merz')","('bundesrat', 'motion')","('bundesrat', 'standerat')","('bundesrat', 'villig')","('bundesrat', 'vorgeschlag')","('daran', 'erinn')","('darauf', 'aufmerksam')","('darauf', 'hinweis')","('darum', 'bitt')","('de', 'la')","('deshalb', 'bundesrat')","('direkt', 'demokrati')","('eidgenoss', 'finanzkontroll')","('eidgenoss', 'steuerverwalt')","('einfach', 'sag')","('elt', 'sorg')","('entwurf', 'bundesrat')","('erneuerbar', 'energi')","('europa', 'gerichtshof')","('europa', 'union')","('fassung', 'bundesrat')","('folg', 'geb')","('frag', 'herr')","('frag', 'herrn')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'kollegin')","('frau', 'leutenegg')","('frau', 'nationalratin')","('ganz', 'klar')","('ganz', 'wichtig')","('geh', 'davon')","('geht', 'darum')","('geht', 'frag')","('geltend', 'recht')","('gemass', 'artikel')","('gesagt', 'word')","('glaub', 'wichtig')","('gross', 'mehrheit')","('grund', 'weshalb')","('herr', 'bundesrat')","('herr', 'kolleg')","('herr', 'nationalrat')","('herr', 'standerat')","('herr', 'visch')","('herrn', 'standerat')","('heut', 'geltend')","('indirekt', 'gegenvorschlag')","('initiativ', 'folg')","('ja', 'schon')","('kanton', 'bern')","('kanton', 'schwyz')","('kanton', 'zurich')","('klar', 'meinung')","('kommission', 'beantragt')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('kommissionssprech', 'gesagt')","('konsumentinn', 'konsument')","('lehnt', 'spfraktion')","('leutenegg', 'oberholz')","('mehr', 'geld')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'spfraktion')","('mehrheit', 'svpfraktion')","('mehrheit', 'wak')","('mehrheit', 'zuzustimm')","('mieterinn', 'miet')","('milliard', 'frank')","('mind', 'folg')","('minderheitsantrag', 'abzulehn')","('mocht', 'bitt')","('mocht', 'daran')","('mocht', 'einfach')","('motion', 'abzulehn')","('motion', 'anzunehm')","('nach', 'jahr')","('nam', 'bundesrat')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'folg')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('patientinn', 'patient')","('pro', 'helvetia')","('rentnerinn', 'rentn')","('rund', 'milliard')","('sag', 'sei')","('sbb', 'cargo')","('seit', 'jahr')","('servic', 'public')","('sicherheitspolit', 'bericht')","('sicht', 'bundesrat')","('sicht', 'spfraktion')","('sinn', 'bitt')","('sozialdemokrat', 'fraktion')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'begrusst')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'eintret')","('spfraktion', 'empfiehlt')","('spfraktion', 'ersuch')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'minderheitsantrag')","('spfraktion', 'steht')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('st', 'gall')","('staatspolit', 'kommission')","('stimm', 'enthalt')","('svpfraktion', 'antrag')","('svpfraktion', 'beantrag')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'unterstutzt')","('svpfraktion', 'vorlag')","('teilt', 'antrag')","('uns', 'kommission')","('uns', 'sicht')","('unterstutzt', 'spfraktion')","('vier', 'jahr')","('volkerrecht', 'vertrag')","('vorlauf', 'aufgenomm')","('vorlauf', 'aufnahm')","('worum', 'geht')","('zwanzig', 'jahr')","('zwei', 'drei')","('zweit', 'saul')"
0,Adrian Amstutz,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.03508771929824561,0.0,0.0,0.03508771929824561,0.0,0.0,0.0,0.008771929824561403,0.008771929824561403,0.0,0.0,0.0,0.0,0.008771929824561403,0.017543859649122806,0.0,0.017543859649122806,0.017543859649122806,0.0,0.0,0.0,0.0,0.017543859649122806,0.008771929824561403,0.0,0.0,0.008771929824561403,0.017543859649122806,0.02631578947368421,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.07017543859649122,0.0,0.0,0.0,0.03508771929824561,0.0,0.05263157894736842,0.0,0.0,0.02631578947368421,0.0,0.008771929824561403,0.008771929824561403,0.0,0.0,0.008771929824561403,0.0,0.0,0.008771929824561403,0.0,0.05263157894736842,0.03508771929824561,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.017543859649122806,0.0,0.0,0.008771929824561403,0.008771929824561403,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.017543859649122806,0.0,0.0,0.0,0.0,0.008771929824561403,0.017543859649122806,0.0,0.0,0.008771929824561403,0.0,0.008771929824561403,0.02631578947368421,0.03508771929824561,0.008771929824561403,0.0,0.0,0.017543859649122806,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,0.008771929824561403,0.0,0.0,0.0,0.0,0.017543859649122806,0.008771929824561403,0.0
1,Alex Kuprecht,Schweizerische Volkspartei (SVP),0.020700636942675158,0.006369426751592357,0.0,0.004777070063694267,0.0031847133757961785,0.007961783439490446,0.020700636942675158,0.004777070063694267,0.004777070063694267,0.06847133757961783,0.0031847133757961785,0.0015923566878980893,0.0,0.004777070063694267,0.01592356687898089,0.007961783439490446,0.012738853503184714,0.009554140127388535,0.0,0.014331210191082803,0.07961783439490445,0.0,0.0,0.012738853503184714,0.0,0.0015923566878980893,0.007961783439490446,0.0,0.0,0.0031847133757961785,0.0,0.0,0.0015923566878980893,0.004777070063694267,0.004777070063694267,0.004777070063694267,0.004777070063694267,0.0,0.0031847133757961785,0.0015923566878980893,0.0015923566878980893,0.004777070063694267,0.0031847133757961785,0.0,0.006369426751592357,0.0,0.0,0.0015923566878980893,0.004777070063694267,0.02388535031847134,0.0,0.0,0.0,0.009554140127388535,0.0031847133757961785,0.009554140127388535,0.0,0.0015923566878980893,0.004777070063694267,0.0015923566878980893,0.011146496815286623,0.027070063694267517,0.006369426751592357,0.011146496815286623,0.03184713375796178,0.0,0.0015923566878980893,0.0031847133757961785,0.0,0.01910828025477707,0.014331210191082803,0.0031847133757961785,0.0,0.0,0.0,0.0,0.0015923566878980893,0.0031847133757961785,0.0031847133757961785,0.0,0.004777070063694267,0.004777070063694267,0.0015923566878980893,0.01592356687898089,0.006369426751592357,0.0,0.0,0.0015923566878980893,0.0,0.0,0.0,0.014331210191082803,0.006369426751592357,0.0,0.0,0.0,0.011146496815286623,0.0,0.09076433121019108,0.0,0.007961783439490446,0.009554140127388535,0.0,0.0031847133757961785,0.012738853503184714,0.01910828025477707,0.01592356687898089,0.0,0.0,0.0,0.009554140127388535,0.0015923566878980893,0.04617834394904458,0.0031847133757961785,0.0,0.014331210191082803,0.03662420382165605,0.0,0.0,0.004777070063694267,0.0,0.0015923566878980893,0.0,0.0,0.0015923566878980893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042993630573248405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01751592356687898,0.0,0.0,0.007961783439490446,0.0,0.0,0.0,0.0015923566878980893,0.0,0.014331210191082803,0.014331210191082803
2,Alfred Heer,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0055248618784530384,0.0,0.03314917127071823,0.0055248618784530384,0.0,0.011049723756906077,0.0,0.011049723756906077,0.0,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0055248618784530384,0.03314917127071823,0.049723756906077346,0.0,0.0055248618784530384,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0,0.0,0.011049723756906077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03867403314917127,0.0,0.0,0.0,0.016574585635359115,0.0,0.0055248618784530384,0.0055248618784530384,0.022099447513812154,0.0,0.0055248618784530384,0.011049723756906077,0.04419889502762431,0.0,0.0,0.011049723756906077,0.0,0.0,0.0,0.0,0.0055248618784530384,0.011049723756906077,0.0055248618784530384,0.0,0.027624309392265192,0.0,0.0,0.0055248618784530384,0.03314917127071823,0.0,0.0,0.022099447513812154,0.04419889502762431,0.0,0.0055248618784530384,0.0,0.13812154696132597,0.0,0.0,0.0,0.0055248618784530384,0.0055248618784530384,0.0,0.06077348066298342,0.0,0.0,0.0,0.0,0.0055248618784530384,0.06077348066298342,0.0,0.0,0.0055248618784530384,0.0,0.0,0.011049723756906077,0.0055248618784530384,0.0,0.0,0.0,0.03314917127071823,0.0,0.011049723756906077,0.09392265193370165,0.0,0.0,0.0,0.011049723756906077,0.0,0.0,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055248618784530384,0.011049723756906077,0.0,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011049723756906077,0.0,0.0,0.0
3,Andrea Martina Geissbühler,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0196078431372549,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0392156862745098,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Andreas Aebi,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0,0.0,0.010869565217391304,0.0,0.0,0.010869565217391304,0.0,0.0,0.0,0.06521739130434782,0.0,0.0,0.0,0.0,0.021739130434782608,0.021739130434782608,0.0,0.0,0.0,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010869565217391304,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.010869565217391304,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.010869565217391304,0.0,0.010869565217391304,0.06521739130434782,0.0,0.03260869565217391,0.0,0.0,0.05434782608695652,0.0,0.010869565217391304,0.010869565217391304,0.0,0.0,0.0,0.010869565217391304,0.0,0.0,0.0,0.021739130434782608,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.06521739130434782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09782608695652174,0.0,0.0,0.0,0.010869565217391304,0.010869565217391304,0.0,0.0,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.010869565217391304,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010869565217391304,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03260869565217391,0.021739130434782608,0.021739130434782608,0.0
5,André Bugnon,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Bruno Zuppiger,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.007407407407407408,0.014814814814814815,0.022222222222222223,0.0,0.02962962962962963,0.007407407407407408,0.0,0.0,0.0,0.022222222222222223,0.007407407407407408,0.0,0.0,0.0,0.0,0.014814814814814815,0.0,0.0,0.007407407407407408,0.014814814814814815,0.014814814814814815,0.0,0.0,0.007407407407407408,0.0,0.0,0.0,0.0,0.007407407407407408,0.0,0.0,0.0,0.007407407407407408,0.0,0.0,0.0,0.014814814814814815,0.0,0.0,0.0,0.007407407407407408,0.0,0.0,0.0,0.0,0.05925925925925926,0.0,0.0,0.0,0.022222222222222223,0.0,0.007407407407407408,0.007407407407407408,0.0,0.02962962962962963,0.0,0.0,0.014814814814814815,0.0,0.007407407407407408,0.007407407407407408,0.0,0.0,0.007407407407407408,0.0,0.02962962962962963,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.014814814814814815,0.007407407407407408,0.0,0.0,0.0,0.0,0.007407407407407408,0.0,0.007407407407407408,0.02962962962962963,0.0,0.0,0.014814814814814815,0.0,0.0,0.15555555555555556,0.0,0.0,0.007407407407407408,0.0,0.0,0.0,0.0,0.05925925925925926,0.0,0.0,0.02962962962962963,0.0,0.007407407407407408,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.014814814814814815,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007407407407407408,0.014814814814814815,0.0,0.007407407407407408,0.0,0.0,0.0,0.014814814814814815,0.007407407407407408,0.007407407407407408,0.0
7,Caspar Baader,Schweizerische Volkspartei (SVP),0.002824858757062147,0.002824858757062147,0.0,0.002824858757062147,0.002824858757062147,0.02824858757062147,0.03672316384180791,0.002824858757062147,0.002824858757062147,0.07627118644067797,0.0,0.0,0.0,0.0,0.014124293785310734,0.002824858757062147,0.0,0.014124293785310734,0.0,0.01694915254237288,0.06497175141242938,0.002824858757062147,0.0,0.00847457627118644,0.0,0.0,0.002824858757062147,0.0,0.011299435028248588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00847457627118644,0.0,0.002824858757062147,0.00847457627118644,0.0,0.002824858757062147,0.0,0.0,0.002824858757062147,0.002824858757062147,0.0,0.0,0.0,0.025423728813559324,0.002824858757062147,0.002824858757062147,0.00847457627118644,0.025423728813559324,0.0,0.0,0.022598870056497175,0.0,0.014124293785310734,0.002824858757062147,0.002824858757062147,0.05649717514124294,0.011299435028248588,0.014124293785310734,0.014124293785310734,0.002824858757062147,0.0,0.00847457627118644,0.0,0.014124293785310734,0.00847457627118644,0.0,0.0,0.00847457627118644,0.0,0.002824858757062147,0.01977401129943503,0.022598870056497175,0.00847457627118644,0.0,0.0,0.0,0.011299435028248588,0.002824858757062147,0.0,0.01694915254237288,0.0,0.002824858757062147,0.0,0.014124293785310734,0.002824858757062147,0.01977401129943503,0.02824858757062147,0.0,0.002824858757062147,0.002824858757062147,0.00847457627118644,0.00847457627118644,0.062146892655367235,0.005649717514124294,0.0,0.0,0.0,0.0,0.0,0.005649717514124294,0.0,0.0,0.0,0.022598870056497175,0.0,0.0,0.05649717514124294,0.0,0.002824858757062147,0.0,0.0,0.002824858757062147,0.0,0.005649717514124294,0.0,0.0,0.0,0.0,0.005649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01977401129943503,0.0,0.00847457627118644,0.002824858757062147,0.005649717514124294,0.0,0.002824858757062147,0.0,0.0,0.002824858757062147,0.0,0.0,0.005649717514124294,0.002824858757062147,0.0,0.022598870056497175,0.002824858757062147,0.0,0.0,0.002824858757062147,0.002824858757062147,0.002824858757062147,0.0
8,Christian Miesch,Schweizerische Volkspartei (SVP),0.0,0.025974025974025976,0.0,0.025974025974025976,0.0,0.0,0.025974025974025976,0.0,0.012987012987012988,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.012987012987012988,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03896103896103896,0.012987012987012988,0.0,0.06493506493506493,0.07792207792207792,0.0,0.03896103896103896,0.03896103896103896,0.0,0.025974025974025976,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.025974025974025976,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.05194805194805195,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.025974025974025976,0.012987012987012988,0.03896103896103896,0.0,0.012987012987012988,0.0,0.012987012987012988,0.0,0.05194805194805195,0.012987012987012988,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.05194805194805195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.03896103896103896,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0
9,Christoffel Brändli,Schweizerische Volkspartei (SVP),0.005773672055427252,0.0,0.0,0.03810623556581986,0.0023094688221709007,0.015011547344110854,0.04041570438799076,0.0,0.0,0.021939953810623556,0.0011547344110854503,0.0,0.0,0.012702078521939953,0.0023094688221709007,0.006928406466512702,0.0,0.0023094688221709007,0.0011547344110854503,0.011547344110854504,0.015011547344110854,0.0,0.0,0.005773672055427252,0.08660508083140878,0.008083140877598153,0.0,0.0011547344110854503,0.003464203233256351,0.003464203233256351,0.0,0.0,0.0011547344110854503,0.009237875288683603,0.005773672055427252,0.016166281755196306,0.0011547344110854503,0.0011547344110854503,0.003464203233256351,0.0,0.0,0.0,0.008083140877598153,0.0,0.008083140877598153,0.011547344110854504,0.0,0.0011547344110854503,0.0011547344110854503,0.016166281755196306,0.0011547344110854503,0.0023094688221709007,0.0023094688221709007,0.017321016166281754,0.023094688221709007,0.0,0.0,0.0,0.004618937644341801,0.0,0.03002309468822171,0.03002309468822171,0.010392609699769052,0.0011547344110854503,0.005773672055427252,0.003464203233256351,0.0,0.0,0.0,0.011547344110854504,0.0,0.0,0.0,0.0,0.0,0.0,0.004618937644341801,0.011547344110854504,0.005773672055427252,0.0011547344110854503,0.0,0.009237875288683603,0.0011547344110854503,0.08775981524249422,0.009237875288683603,0.0011547344110854503,0.0,0.0011547344110854503,0.0,0.0,0.0011547344110854503,0.011547344110854504,0.008083140877598153,0.0,0.0,0.0,0.005773672055427252,0.0,0.057736720554272515,0.003464203233256351,0.0011547344110854503,0.011547344110854504,0.006928406466512702,0.015011547344110854,0.025404157043879907,0.04157043879907621,0.012702078521939953,0.0,0.0,0.0,0.03002309468822171,0.009237875288683603,0.023094688221709007,0.0,0.0,0.0,0.004618937644341801,0.004618937644341801,0.0,0.0,0.0011547344110854503,0.0,0.0,0.0,0.006928406466512702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023094688221709007,0.010392609699769052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006928406466512702,0.0,0.0,0.003464203233256351,0.0,0.0,0.0,0.010392609699769052,0.016166281755196306,0.023094688221709007,0.0
10,Christoph Blocher,Schweizerische Volkspartei (SVP),0.0661764705882353,0.0,0.0,0.0,0.0,0.007352941176470588,0.014705882352941176,0.0,0.0,0.09558823529411764,0.007352941176470588,0.0,0.0,0.0,0.007352941176470588,0.0,0.0,0.014705882352941176,0.0,0.007352941176470588,0.0,0.0,0.007352941176470588,0.014705882352941176,0.007352941176470588,0.0,0.007352941176470588,0.007352941176470588,0.0,0.0,0.0,0.0,0.007352941176470588,0.0,0.029411764705882353,0.0,0.08823529411764706,0.0,0.0,0.0,0.0,0.0,0.007352941176470588,0.0,0.022058823529411766,0.0,0.0,0.007352941176470588,0.029411764705882353,0.0,0.007352941176470588,0.007352941176470588,0.0,0.0,0.007352941176470588,0.0,0.014705882352941176,0.0,0.007352941176470588,0.0,0.0,0.03676470588235294,0.007352941176470588,0.014705882352941176,0.04411764705882353,0.022058823529411766,0.0,0.0,0.007352941176470588,0.0,0.0,0.007352941176470588,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.007352941176470588,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.022058823529411766,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.007352941176470588,0.007352941176470588,0.007352941176470588,0.0,0.0,0.007352941176470588,0.0,0.007352941176470588,0.0,0.0,0.0,0.0,0.03676470588235294,0.0,0.0,0.0,0.0,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022058823529411766,0.014705882352941176,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.007352941176470588,0.0,0.007352941176470588,0.007352941176470588,0.0,0.0
11,Christoph Mörgeli,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.008333333333333333,0.016666666666666666,0.0,0.0,0.008333333333333333,0.016666666666666666,0.0,0.0,0.0,0.008333333333333333,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.025,0.0,0.0,0.016666666666666666,0.06666666666666667,0.0,0.008333333333333333,0.008333333333333333,0.0,0.016666666666666666,0.0,0.0,0.06666666666666667,0.0,0.008333333333333333,0.016666666666666666,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.10833333333333334,0.0,0.0,0.025,0.0,0.0,0.0,0.016666666666666666,0.008333333333333333,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.008333333333333333,0.06666666666666667,0.0,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,0.058333333333333334,0.0,0.0,0.008333333333333333,0.0,0.0,0.008333333333333333,0.016666666666666666,0.025,0.0,0.0,0.0,0.0,0.008333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.008333333333333333,0.0,0.008333333333333333,0.0
