,Speaker Party,Speaker,"('abgelehnt', 'artikel')","('ablehn', 'motion')","('aeschi', 'thomas')","('anerkannt', 'fluchtling')","('angab', 'herrn')","('annahm', 'motion')","('antrag', 'kommission')","('antrag', 'kommissionsmehr')","('antrag', 'mind')","('antrag', 'wurd')","('antwort', 'frag')","('artikel', 'absatz')","('automat', 'informationsaustausch')","('beantragt', 'kommission')","('beid', 'rat')","('beitrag', 'leist')","('bereit', 'heut')","('bern', 'konvention')","('beschluss', 'nationalrat')","('betroff', 'person')","('bitt', 'deshalb')","('bitt', 'mehrheit')","('bitt', 'motion')","('branchenorganisation', 'milch')","('buchstab', 'b')","('bund', 'kanton')","('bundesamt', 'verkehr')","('bundesrat', 'antwort')","('bundesrat', 'beantragt')","('bundesrat', 'bleib')","('bundesrat', 'empfiehlt')","('bundesrat', 'folg')","('bundesrat', 'ja')","('bundesrat', 'maur')","('bundesrat', 'meinung')","('bundesrat', 'motion')","('bundesrat', 'vorgeschlag')","('burgerinn', 'burg')","('buro', 'beantragt')","('buro', 'festgestellt')","('buro', 'mandat')","('conseil', 'fédéral')","('cvpfraktion', 'ab')","('cvpfraktion', 'antrag')","('cvpfraktion', 'artikel')","('cvpfraktion', 'begrusst')","('cvpfraktion', 'bitt')","('cvpfraktion', 'erachtet')","('cvpfraktion', 'meinung')","('cvpfraktion', 'mind')","('cvpfraktion', 'stimmt')","('cvpfraktion', 'unterstutzt')","('cvpfraktion', 'vorlag')","('dan', 'le')","('dank', 'bundesrat')","('daran', 'erinn')","('darauf', 'aufmerksam')","('darauf', 'hingewies')","('darauf', 'hinweis')","('davon', 'ausgeh')","('de', 'la')","('deshalb', 'bitt')","('deshalb', 'bundesrat')","('direkt', 'bundessteu')","('direkt', 'demokrati')","('diskussion', 'fuhr')","('drei', 'jahr')","('ehrlich', 'gesagt')","('eidgenoss', 'finanzkontroll')","('eidgenoss', 'steuerverwalt')","('eidgenoss', 'zollverwalt')","('einfach', 'sag')","('elektron', 'stimmabgab')","('enthalt', 'abgelehnt')","('enthalt', 'angenomm')","('entscheid', 'fall')","('entwurf', 'bundesrat')","('erklart', 'buro')","('erleichtert', 'einburger')","('erneuerbar', 'energi')","('ersatz', 'list')","('ersetzt', 'zuruckgetret')","('erst', 'lini')","('erst', 'mal')","('etwa', 'milliard')","('etwa', 'prozent')","('europa', 'union')","('fdpdie', 'liberal')","('fdpliberal', 'fraktion')","('festgestellt', 'wahl')","('finanzkommission', 'empfiehlt')","('fluchtling', 'vorlauf')","('frag', 'herr')","('frank', 'pro')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'kollegin')","('frau', 'nationalratin')","('frau', 'standeratin')","('fuss', 'veloverkehr')","('ganz', 'wichtig')","('gebund', 'ausgab')","('geh', 'davon')","('geht', 'darum')","('geht', 'einfach')","('geht', 'frag')","('geht', 'ja')","('geltend', 'recht')","('gemass', 'artikel')","('gemeinsam', 'organisation')","('genet', 'untersuch')","('genf', 'zentrum')","('gern', 'bereit')","('gesagt', 'herr')","('geschatzt', 'frau')","('geschatzt', 'herr')","('geschatzt', 'kolleg')","('geschatzt', 'kollegin')","('gesetz', 'grundlag')","('gewahlt', 'erklart')","('gibt', 'viel')","('glaub', 'wichtig')","('gleich', 'lang')","('grund', 'dafur')","('grund', 'weshalb')","('gultig', 'zustand')","('gut', 'gemeint')","('guterabwag', 'vorzunehm')","('hauslich', 'gewalt')","('herr', 'bundesrat')","('herr', 'caroni')","('herr', 'kolleg')","('herr', 'matt')","('herr', 'nationalrat')","('herr', 'pardini')","('herr', 'standerat')","('herrn', 'bundesrat')","('herrn', 'standerat')","('heut', 'geltend')","('heut', 'morg')","('heut', 'schon')","('heutig', 'rentnerinn')","('illegal', 'migrant')","('imm', 'mehr')","('indirekt', 'presseforder')","('initiativ', 'altherr')","('insof', 'glaub')","('interess', 'daran')","('international', 'recht')","('international', 'standard')","('international', 'zusammenarbeit')","('ja', 'sag')","('ja', 'schon')","('jugend', 'sport')","('kanton', 'tessin')","('kanton', 'thurgau')","('kenntnis', 'nehm')","('kolleg', 'caroni')","('kolleg', 'cram')","('kolleg', 'engl')","('kolleg', 'fohn')","('kolleg', 'glattli')","('kolleg', 'jositsch')","('kolleg', 'mind')","('kolleg', 'ried')","('kolleg', 'stockli')","('komm', 'sag')","('komm', 'schluss')","('kommission', 'einstimm')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('kommission', 'siksr')","('kommission', 'stimm')","('kommission', 'unterstutz')","('kommissionsmehr', 'unterstutz')","('kommissionssprech', 'gesagt')","('la', 'suiss')","('lang', 'spiess')","('le', 'conseil')","('leb', 'bedroht')","('legt', 'dar')","('lehnt', 'cvpfraktion')","('lehnt', 'spfraktion')","('leib', 'leb')","('letzt', 'jahr')","('leutenegg', 'oberholz')","('losung', 'find')","('lunion', 'européenn')","('macht', 'sinn')","('mandat', 'festgestellt')","('mandat', 'unvereinbar')","('massnahm', 'nr')","('megabit', 'pro')","('mehrheit', 'fdpliberal')","('mehrheit', 'finanzkommission')","('mehrheit', 'kommission')","('mehrheit', 'spfraktion')","('mehrheit', 'svpfraktion')","('milliard', 'frank')","('million', 'frank')","('mind', 'aeschi')","('mind', 'i')","('mind', 'ii')","('mineral', 'rohstoff')","('mocht', 'bitt')","('mocht', 'bundesrat')","('mocht', 'einfach')","('mocht', 'kurz')","('mocht', 'nochmal')","('motion', 'ablehn')","('motion', 'abzulehn')","('motion', 'anzunehm')","('motion', 'verlangt')","('muss', 'schon')","('nach', 'jahr')","('nam', 'bundesrat')","('nam', 'cvpfraktion')","('nam', 'fdpliberal')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'beschloss')","('nationalrat', 'folg')","('nein', 'sag')","('neu', 'aufgab')","('offent', 'beschaffungswes')","('offent', 'hand')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('parlamentar', 'mandat')","('parlamentar', 'versamml')","('parlamentsgesetz', 'parlamentar')","('partenair', 'tarifair')","('patientinn', 'patient')","('polit', 'bildung')","('postulat', 'abzulehn')","('pro', 'jahr')","('recht', 'gesagt')","('regional', 'personenverkehr')","('rentnerinn', 'rentn')","('richtig', 'gesagt')","('rund', 'milliard')","('rund', 'million')","('rund', 'prozent')","('sach', 'kanton')","('sag', 'bundesrat')","('sag', 'gern')","('sag', 'ja')","('sag', 'mal')","('sag', 'sei')","('schluss', 'gekomm')","('schon', 'gesagt')","('schutz', 'privatsphar')","('seit', 'fahn')","('seit', 'jahr')","('servic', 'public')","('sicherheitspolit', 'kommission')","('sicht', 'bundesrat')","('sicht', 'cvpfraktion')","('sicht', 'fdpliberal')","('sicht', 'kommission')","('sicht', 'spfraktion')","('sicht', 'svpfraktion')","('sinn', 'bitt')","('sozialdemokrat', 'fraktion')","('spfraktion', 'antrag')","('spfraktion', 'begrusst')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'lehnt')","('spfraktion', 'mind')","('spfraktion', 'steht')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('sprech', 'spfraktion')","('st', 'gall')","('stadt', 'gemeind')","('standerat', 'engl')","('stellungnahm', 'bundesrat')","('stimm', 'abgelehnt')","('stimm', 'enthalt')","('strateg', 'ziel')","('svpfraktion', 'bitt')","('svpfraktion', 'lehnt')","('svpfraktion', 'unterstutzt')","('svpfraktion', 'vorlag')","('umsetz', 'masseneinwanderungsinitiativ')","('unbegleitet', 'minderjahr')","('uns', 'kommission')","('uns', 'sicht')","('unternehmenssteuerreform', 'iii')","('unterstutzt', 'cvpfraktion')","('unterstutzt', 'fdpliberal')","('unterstutzt', 'spfraktion')","('unterstutzt', 'svpfraktion')","('unvereinbar', 'war')","('versich', 'bundesrat')","('viel', 'dank')","('vier', 'jahr')","('volkerrecht', 'vertrag')","('vorab', 'festzuhalt')","('vorhin', 'gesagt')","('vorlag', 'einzutret')","('vorlauf', 'aufgenomm')","('vorlauf', 'aufnahm')","('wahl', 'herrn')","('wak', 'rat')","('war', 'buro')","('weshalb', 'bundesrat')","('wurd', 'gesagt')","('wurd', 'recht')","('wurd', 'stimm')","('z', 'b')","('zinsbereinigt', 'gewinnsteu')","('zwanzig', 'jahr')","('zweit', 'saul')","('zwingend', 'lebenslang')","('à', 'la')"
38,Christlichdemokratische Volkspartei der Schweiz (CVP),Thomas Ammann,0,2,0,0,0,0,1,3,8,0,0,20,0,0,0,2,2,0,0,0,0,0,0,0,0,2,3,1,0,0,0,1,0,0,0,0,2,2,0,0,0,0,1,1,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,6,6,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,Christlichdemokratische Volkspartei der Schweiz (CVP),Viola Amherd,0,7,0,0,0,4,5,3,8,0,0,34,0,0,3,1,14,0,0,3,0,3,6,0,2,10,1,1,11,0,1,2,1,0,0,7,2,2,0,0,0,1,0,1,0,1,1,0,0,0,0,3,1,0,0,0,1,3,0,2,1,2,3,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,8,0,6,0,1,1,2,0,0,0,2,6,0,3,1,3,8,0,0,0,1,0,1,2,0,0,10,0,0,0,1,3,1,0,0,0,18,0,0,1,0,3,0,4,0,3,3,1,2,0,0,0,3,0,0,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,10,0,6,1,0,3,0,1,0,0,0,0,0,2,16,0,1,0,0,0,0,0,0,0,1,3,0,0,11,33,0,4,3,0,0,0,0,1,0,0,15,3,5,0,3,7,5,0,0,0,1,0,0,2,0,3,4,21,0,0,0,0,3,2,1,11,0,0,0,0,3,5,2,1,0,1,0,2,0,2,0,0,0,1,14,14,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,2,0,0,5,0,8,0,0,1
40,Christlichdemokratische Volkspartei der Schweiz (CVP),Walter Thurnherr,0,13,0,0,0,1,1,0,0,0,0,13,0,1,1,1,10,0,0,1,2,1,1,0,0,6,0,0,18,0,1,1,0,0,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,2,0,0,4,3,0,5,1,2,0,2,0,0,0,33,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,0,0,0,4,1,0,0,0,0,3,0,2,0,1,3,1,0,0,0,0,0,1,0,0,9,0,10,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,15,0,0,1,0,2,3,0,0,0,0,18,0,2,0,0,7,0,0,0,0,0,0,0,0,5,2,0,6,0,1,0,0,0,2,6,6,2,0,0,3,0,3,2,2,0,0,0,0,0,1,0,0,0,2,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,2,0,0,0,0,0,0,0,3,0,0,5,0,4,0,0,0
41,FDP.Die Liberalen (FDP-Liberale),Albert Vitali,0,1,6,0,0,0,1,1,18,3,0,4,0,1,2,1,3,0,11,0,0,7,1,0,0,5,0,0,3,0,0,2,1,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,7,0,0,2,0,26,2,2,0,0,1,2,0,18,0,0,0,0,0,1,0,4,10,0,3,101,0,0,0,1,4,0,2,0,11,0,0,0,0,6,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,3,0,0,4,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,6,8,4,0,0,91,231,2,2,1,0,2,2,0,0,0,0,0,1,0,1,2,0,0,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,12,28,11,0,1,2,0,0,0,0,2,0,0,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,8,0,0,0,0,0,0,0,3,0,5,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,8,0,1,0,0,0
42,FDP.Die Liberalen (FDP-Liberale),Andrea Caroni,0,0,0,0,0,2,4,2,6,1,2,10,0,2,8,1,2,0,1,4,0,9,5,0,4,1,0,2,3,2,0,1,3,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,4,1,2,0,0,0,3,2,1,16,2,1,3,0,2,0,1,2,1,1,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,1,3,0,15,0,0,0,0,0,5,0,2,6,1,2,3,13,0,0,0,0,2,2,0,3,1,0,2,0,3,0,1,3,3,0,0,0,0,22,0,7,0,0,0,0,4,0,1,0,26,0,0,5,0,0,0,2,0,0,0,2,14,0,0,0,1,0,8,7,18,0,10,13,14,5,0,1,2,4,5,0,7,0,0,1,0,3,0,0,0,0,0,0,4,0,1,0,2,0,0,0,0,0,0,6,0,0,4,11,0,7,4,0,2,0,1,6,0,0,7,7,3,0,0,0,0,0,0,0,0,10,0,0,1,2,0,27,0,0,0,0,0,3,0,1,0,0,0,3,0,0,1,0,1,0,3,1,5,0,2,1,0,2,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,19,0,0,0,0,0,1,0,2,4,2,0,0,0,0,0,0,2,1,9,0,0,7,0,0,0,1,0,0,7,0,0,24,0,1,0,0,0
43,FDP.Die Liberalen (FDP-Liberale),Beat Walti,0,1,12,0,0,0,1,2,33,0,1,40,24,0,0,1,3,0,0,2,3,2,1,0,1,7,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,4,2,5,2,1,7,1,1,2,1,0,1,1,0,0,1,0,0,5,0,0,0,0,0,4,0,0,5,0,2,44,0,0,0,0,4,0,0,0,7,0,0,0,2,0,2,7,0,8,1,1,2,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,2,0,0,0,0,3,0,3,0,0,0,0,2,0,2,2,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,4,4,0,0,3,1,0,0,1,5,2,0,0,0,0,0,3,4,2,0,2,0,0,0,0,1,0,25,0,0,13,19,9,2,0,0,2,1,4,2,2,0,1,1,0,0,1,0,0,8,0,0,0,0,0,0,5,8,0,17,0,0,0,0,0,0,0,3,0,0,0,0,3,0,1,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,22,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,1,0,0,12,4,0,0,0,1
44,FDP.Die Liberalen (FDP-Liberale),Bruno Pezzatti,0,0,5,0,0,2,1,19,13,0,1,11,0,1,0,0,1,0,2,0,1,0,0,0,1,1,0,1,10,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,1,0,0,12,0,0,0,0,0,0,0,1,2,0,4,70,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,5,0,0,1,2,1,0,0,0,0,0,0,0,1,8,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,1,2,0,0,28,39,1,2,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,5,0,0,1,0,0,0,0,1,0,7,0,0,0,0,2,0,0,11,0,0,4,0,6,8,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,4,2,0,0,0,0,0,0,1,0,3,0,0,1,0,0
45,FDP.Die Liberalen (FDP-Liberale),Christa Markwalder,6,0,0,0,0,0,0,8,9,3,0,53,0,1,5,1,0,0,0,1,10,1,0,0,1,2,0,0,1,0,0,0,0,1,0,0,2,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,0,0,4,4,1,0,0,2,0,3,0,0,0,0,1,0,3,0,1,5,0,0,0,0,0,2,3,0,0,3,1,23,0,0,0,1,1,0,16,0,1,0,0,0,0,0,0,3,0,1,0,4,14,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,6,4,0,3,0,0,1,0,1,0,0,5,2,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,20,0,10,0,3,0,2,0,1,0,0,0,0,4,12,9,2,0,0,0,0,0,0,0,1,19,0,0,0,9,0,9,9,0,0,0,1,0,0,0,1,3,0,0,2,0,0,10,0,0,0,0,0,1,0,0,1,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,16,0,0,0,0,0,3,0,7,6,2,0,1,0,0,0,0,0,6,1,0,0,10,0,0,1,0,0,0,0,0,5,4,0,5,0,0,0
46,FDP.Die Liberalen (FDP-Liberale),Christian Wasserfallen,0,0,0,0,0,1,0,2,6,0,0,19,0,0,6,2,3,0,1,1,2,3,2,0,0,7,0,2,0,2,0,4,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1,1,4,0,7,1,1,0,2,1,2,1,0,0,3,1,0,1,0,1,0,0,24,0,0,4,3,4,13,6,0,19,0,0,0,0,10,6,25,0,8,0,0,0,2,0,2,18,1,0,10,4,2,0,0,0,3,0,0,0,0,0,2,0,2,1,4,1,2,0,0,0,0,9,0,25,0,0,0,0,1,0,0,2,3,0,0,7,0,0,0,0,0,0,0,1,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,1,0,5,0,0,14,63,0,12,2,0,2,0,7,7,0,3,2,4,0,2,0,0,0,0,0,0,1,0,0,5,2,1,0,16,0,0,0,0,0,0,2,10,0,0,4,0,2,4,4,0,0,0,6,0,2,0,1,0,0,5,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,8,1,0,4,1,0,0,0,0,0,1,3,0,0,30,0,2,0,0,3
47,FDP.Die Liberalen (FDP-Liberale),Corina Eichenberger-Walther,0,0,0,0,0,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48,FDP.Die Liberalen (FDP-Liberale),Damian Müller,0,5,1,0,0,4,2,3,9,12,3,48,0,0,0,2,12,0,1,0,0,1,5,0,6,11,3,4,1,2,1,2,4,0,0,4,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,4,2,2,1,0,6,2,0,9,2,8,1,2,0,0,1,0,3,11,0,9,0,0,9,0,0,4,1,0,1,19,0,0,0,0,1,0,22,2,20,0,0,0,0,0,3,0,2,9,1,1,1,0,8,0,0,0,2,0,1,2,1,0,1,0,1,1,3,1,0,0,3,0,0,9,0,1,0,0,0,0,4,0,2,1,3,0,0,4,0,0,0,1,0,0,8,1,1,0,1,1,1,1,0,1,5,0,0,4,1,0,0,2,6,2,0,0,10,2,0,0,2,2,0,0,0,0,0,0,18,0,8,0,2,0,0,0,0,0,0,9,0,0,17,34,0,0,0,0,0,2,2,0,4,1,3,4,0,1,4,0,0,0,0,0,0,2,1,0,1,1,6,6,0,0,0,0,0,12,0,17,0,0,0,0,2,5,0,0,1,0,2,0,0,2,2,0,7,5,6,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,24,0,0,0,0,0,2,5,7,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,3,0,0,0,0,0,0,11,11,0,3,5,0,0
49,FDP.Die Liberalen (FDP-Liberale),Daniela Schneeberger,2,4,6,0,0,0,6,0,33,1,0,70,1,1,0,0,7,0,0,0,2,9,0,0,1,4,0,0,1,0,0,2,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,7,0,1,0,0,0,2,0,0,0,9,1,1,5,0,0,0,0,0,1,1,0,0,0,0,36,0,0,0,0,3,0,2,0,0,0,0,0,0,0,3,3,0,1,4,11,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,4,8,1,0,0,0,0,0,0,2,0,24,0,0,4,34,2,17,7,0,1,1,0,0,1,1,0,3,1,0,4,0,0,1,0,0,0,1,0,1,4,3,0,30,0,0,0,0,0,0,0,1,0,0,0,0,2,4,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,63,6,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,1,0,6,3,5,1,0,0,0
50,FDP.Die Liberalen (FDP-Liberale),Didier Burkhalter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,22,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10
51,FDP.Die Liberalen (FDP-Liberale),Doris Fiala,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,4,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0
